,x,y,z
0,1350.469,1482.585,336.11699999999996
1,1097.826,1173.942,371.425
2,1390.394,972.962,333.11699999999996
3,1084.623,1222.836,372.111
4,845.9680000000001,1443.443,335.525
5,1154.99,1193.448,371.673
6,880.3489999999999,938.738,337.214
7,957.8539999999999,1024.309,116.76799999999999
8,1303.663,1044.042,118.022
